"Notes"	"Month"	"Month Code"	Deaths	Population	Crude Rate
	"Apr., 2002"	"2002/04"	46132	Not Applicable	Not Applicable
	"May, 2002"	"2002/05"	47996	Not Applicable	Not Applicable
	"Jun., 2002"	"2002/06"	45500	Not Applicable	Not Applicable
	"Jul., 2002"	"2002/07"	47656	Not Applicable	Not Applicable
	"Aug., 2002"	"2002/08"	47782	Not Applicable	Not Applicable
	"Sep., 2002"	"2002/09"	46591	Not Applicable	Not Applicable
	"Oct., 2002"	"2002/10"	48520	Not Applicable	Not Applicable
	"Nov., 2002"	"2002/11"	47230	Not Applicable	Not Applicable
	"Dec., 2002"	"2002/12"	49086	Not Applicable	Not Applicable
	"Jan., 2003"	"2003/01"	49299	Not Applicable	Not Applicable
	"Feb., 2003"	"2003/02"	44057	Not Applicable	Not Applicable
	"Mar., 2003"	"2003/03"	48344	Not Applicable	Not Applicable
	"Apr., 2003"	"2003/04"	46395	Not Applicable	Not Applicable
	"May, 2003"	"2003/05"	47563	Not Applicable	Not Applicable
	"Jun., 2003"	"2003/06"	46135	Not Applicable	Not Applicable
	"Jul., 2003"	"2003/07"	47279	Not Applicable	Not Applicable
	"Aug., 2003"	"2003/08"	48188	Not Applicable	Not Applicable
	"Sep., 2003"	"2003/09"	46501	Not Applicable	Not Applicable
	"Oct., 2003"	"2003/10"	49192	Not Applicable	Not Applicable
	"Nov., 2003"	"2003/11"	47227	Not Applicable	Not Applicable
	"Dec., 2003"	"2003/12"	50285	Not Applicable	Not Applicable
	"Jan., 2004"	"2004/01"	49747	Not Applicable	Not Applicable
	"Feb., 2004"	"2004/02"	45522	Not Applicable	Not Applicable
	"Mar., 2004"	"2004/03"	48687	Not Applicable	Not Applicable
	"Apr., 2004"	"2004/04"	46035	Not Applicable	Not Applicable
	"May, 2004"	"2004/05"	47261	Not Applicable	Not Applicable
	"Jun., 2004"	"2004/06"	45591	Not Applicable	Not Applicable
	"Jul., 2004"	"2004/07"	47454	Not Applicable	Not Applicable
	"Aug., 2004"	"2004/08"	47581	Not Applicable	Not Applicable
	"Sep., 2004"	"2004/09"	46207	Not Applicable	Not Applicable
	"Oct., 2004"	"2004/10"	48429	Not Applicable	Not Applicable
	"Nov., 2004"	"2004/11"	46247	Not Applicable	Not Applicable
	"Dec., 2004"	"2004/12"	48707	Not Applicable	Not Applicable
	"Jan., 2005"	"2005/01"	49641	Not Applicable	Not Applicable
	"Feb., 2005"	"2005/02"	45534	Not Applicable	Not Applicable
	"Mar., 2005"	"2005/03"	49615	Not Applicable	Not Applicable
	"Apr., 2005"	"2005/04"	46703	Not Applicable	Not Applicable
	"May, 2005"	"2005/05"	47677	Not Applicable	Not Applicable
	"Jun., 2005"	"2005/06"	46120	Not Applicable	Not Applicable
	"Jul., 2005"	"2005/07"	47475	Not Applicable	Not Applicable
	"Aug., 2005"	"2005/08"	48239	Not Applicable	Not Applicable
	"Sep., 2005"	"2005/09"	46812	Not Applicable	Not Applicable
	"Oct., 2005"	"2005/10"	48461	Not Applicable	Not Applicable
	"Nov., 2005"	"2005/11"	47103	Not Applicable	Not Applicable
	"Dec., 2005"	"2005/12"	49642	Not Applicable	Not Applicable
	"Jan., 2006"	"2006/01"	49462	Not Applicable	Not Applicable
	"Feb., 2006"	"2006/02"	45161	Not Applicable	Not Applicable
	"Mar., 2006"	"2006/03"	49730	Not Applicable	Not Applicable
	"Apr., 2006"	"2006/04"	46410	Not Applicable	Not Applicable
	"May, 2006"	"2006/05"	48185	Not Applicable	Not Applicable
	"Jun., 2006"	"2006/06"	46277	Not Applicable	Not Applicable
	"Jul., 2006"	"2006/07"	47706	Not Applicable	Not Applicable
	"Aug., 2006"	"2006/08"	47882	Not Applicable	Not Applicable
	"Sep., 2006"	"2006/09"	47259	Not Applicable	Not Applicable
	"Oct., 2006"	"2006/10"	49173	Not Applicable	Not Applicable
	"Nov., 2006"	"2006/11"	47600	Not Applicable	Not Applicable
	"Dec., 2006"	"2006/12"	49165	Not Applicable	Not Applicable
	"Jan., 2007"	"2007/01"	49829	Not Applicable	Not Applicable
	"Feb., 2007"	"2007/02"	45527	Not Applicable	Not Applicable
	"Mar., 2007"	"2007/03"	48874	Not Applicable	Not Applicable
	"Apr., 2007"	"2007/04"	47103	Not Applicable	Not Applicable
	"May, 2007"	"2007/05"	47825	Not Applicable	Not Applicable
	"Jun., 2007"	"2007/06"	46654	Not Applicable	Not Applicable
	"Jul., 2007"	"2007/07"	48340	Not Applicable	Not Applicable
	"Aug., 2007"	"2007/08"	48818	Not Applicable	Not Applicable
	"Sep., 2007"	"2007/09"	47525	Not Applicable	Not Applicable
	"Oct., 2007"	"2007/10"	49294	Not Applicable	Not Applicable
	"Nov., 2007"	"2007/11"	47643	Not Applicable	Not Applicable
	"Dec., 2007"	"2007/12"	49647	Not Applicable	Not Applicable
	"Jan., 2008"	"2008/01"	49893	Not Applicable	Not Applicable
	"Feb., 2008"	"2008/02"	47621	Not Applicable	Not Applicable
	"Mar., 2008"	"2008/03"	49558	Not Applicable	Not Applicable
	"Apr., 2008"	"2008/04"	47159	Not Applicable	Not Applicable
	"May, 2008"	"2008/05"	48288	Not Applicable	Not Applicable
	"Jun., 2008"	"2008/06"	46670	Not Applicable	Not Applicable
	"Jul., 2008"	"2008/07"	47993	Not Applicable	Not Applicable
	"Aug., 2008"	"2008/08"	48607	Not Applicable	Not Applicable
	"Sep., 2008"	"2008/09"	47234	Not Applicable	Not Applicable
	"Oct., 2008"	"2008/10"	49152	Not Applicable	Not Applicable
	"Nov., 2008"	"2008/11"	48070	Not Applicable	Not Applicable
	"Dec., 2008"	"2008/12"	49694	Not Applicable	Not Applicable
	"Jan., 2009"	"2009/01"	50220	Not Applicable	Not Applicable
	"Feb., 2009"	"2009/02"	45366	Not Applicable	Not Applicable
	"Mar., 2009"	"2009/03"	49582	Not Applicable	Not Applicable
	"Apr., 2009"	"2009/04"	47564	Not Applicable	Not Applicable
	"May, 2009"	"2009/05"	48103	Not Applicable	Not Applicable
	"Jun., 2009"	"2009/06"	47088	Not Applicable	Not Applicable
	"Jul., 2009"	"2009/07"	48777	Not Applicable	Not Applicable
	"Aug., 2009"	"2009/08"	48888	Not Applicable	Not Applicable
	"Sep., 2009"	"2009/09"	47838	Not Applicable	Not Applicable
	"Oct., 2009"	"2009/10"	50302	Not Applicable	Not Applicable
	"Nov., 2009"	"2009/11"	48184	Not Applicable	Not Applicable
	"Dec., 2009"	"2009/12"	50321	Not Applicable	Not Applicable
	"Jan., 2010"	"2010/01"	50766	Not Applicable	Not Applicable
	"Feb., 2010"	"2010/02"	45844	Not Applicable	Not Applicable
	"Mar., 2010"	"2010/03"	50245	Not Applicable	Not Applicable
	"Apr., 2010"	"2010/04"	47919	Not Applicable	Not Applicable
	"May, 2010"	"2010/05"	49349	Not Applicable	Not Applicable
	"Jun., 2010"	"2010/06"	47618	Not Applicable	Not Applicable
	"Jul., 2010"	"2010/07"	49665	Not Applicable	Not Applicable
	"Aug., 2010"	"2010/08"	49887	Not Applicable	Not Applicable
	"Sep., 2010"	"2010/09"	48010	Not Applicable	Not Applicable
	"Oct., 2010"	"2010/10"	50229	Not Applicable	Not Applicable
	"Nov., 2010"	"2010/11"	48821	Not Applicable	Not Applicable
	"Dec., 2010"	"2010/12"	51307	Not Applicable	Not Applicable
	"Jan., 2011"	"2011/01"	51473	Not Applicable	Not Applicable
	"Feb., 2011"	"2011/02"	46402	Not Applicable	Not Applicable
	"Mar., 2011"	"2011/03"	50719	Not Applicable	Not Applicable
	"Apr., 2011"	"2011/04"	47860	Not Applicable	Not Applicable
	"May, 2011"	"2011/05"	49376	Not Applicable	Not Applicable
	"Jun., 2011"	"2011/06"	47835	Not Applicable	Not Applicable
	"Jul., 2011"	"2011/07"	49439	Not Applicable	Not Applicable
	"Aug., 2011"	"2011/08"	50113	Not Applicable	Not Applicable
	"Sep., 2011"	"2011/09"	48739	Not Applicable	Not Applicable
	"Oct., 2011"	"2011/10"	50454	Not Applicable	Not Applicable
	"Nov., 2011"	"2011/11"	48499	Not Applicable	Not Applicable
	"Dec., 2011"	"2011/12"	50779	Not Applicable	Not Applicable
	"Jan., 2012"	"2012/01"	51144	Not Applicable	Not Applicable
	"Feb., 2012"	"2012/02"	47684	Not Applicable	Not Applicable
	"Mar., 2012"	"2012/03"	50421	Not Applicable	Not Applicable
	"Apr., 2012"	"2012/04"	48123	Not Applicable	Not Applicable
	"May, 2012"	"2012/05"	49862	Not Applicable	Not Applicable
	"Jun., 2012"	"2012/06"	48385	Not Applicable	Not Applicable
	"Jul., 2012"	"2012/07"	49641	Not Applicable	Not Applicable
	"Aug., 2012"	"2012/08"	50681	Not Applicable	Not Applicable
	"Sep., 2012"	"2012/09"	48989	Not Applicable	Not Applicable
	"Oct., 2012"	"2012/10"	51012	Not Applicable	Not Applicable
	"Nov., 2012"	"2012/11"	49620	Not Applicable	Not Applicable
	"Dec., 2012"	"2012/12"	52117	Not Applicable	Not Applicable
	"Jan., 2013"	"2013/01"	53132	Not Applicable	Not Applicable
	"Feb., 2013"	"2013/02"	46623	Not Applicable	Not Applicable
	"Mar., 2013"	"2013/03"	51247	Not Applicable	Not Applicable
	"Apr., 2013"	"2013/04"	48874	Not Applicable	Not Applicable
	"May, 2013"	"2013/05"	49789	Not Applicable	Not Applicable
	"Jun., 2013"	"2013/06"	48340	Not Applicable	Not Applicable
	"Jul., 2013"	"2013/07"	50318	Not Applicable	Not Applicable
	"Aug., 2013"	"2013/08"	50681	Not Applicable	Not Applicable
	"Sep., 2013"	"2013/09"	48887	Not Applicable	Not Applicable
	"Oct., 2013"	"2013/10"	51236	Not Applicable	Not Applicable
	"Nov., 2013"	"2013/11"	49577	Not Applicable	Not Applicable
	"Dec., 2013"	"2013/12"	51409	Not Applicable	Not Applicable
	"Jan., 2014"	"2014/01"	52472	Not Applicable	Not Applicable
	"Feb., 2014"	"2014/02"	46850	Not Applicable	Not Applicable
	"Mar., 2014"	"2014/03"	51939	Not Applicable	Not Applicable
	"Apr., 2014"	"2014/04"	49598	Not Applicable	Not Applicable
	"May, 2014"	"2014/05"	50812	Not Applicable	Not Applicable
	"Jun., 2014"	"2014/06"	49346	Not Applicable	Not Applicable
	"Jul., 2014"	"2014/07"	50578	Not Applicable	Not Applicable
	"Aug., 2014"	"2014/08"	50841	Not Applicable	Not Applicable
	"Sep., 2014"	"2014/09"	49651	Not Applicable	Not Applicable
	"Oct., 2014"	"2014/10"	52328	Not Applicable	Not Applicable
	"Nov., 2014"	"2014/11"	50768	Not Applicable	Not Applicable
	"Dec., 2014"	"2014/12"	52556	Not Applicable	Not Applicable
	"Jan., 2015"	"2015/01"	53845	Not Applicable	Not Applicable
	"Feb., 2015"	"2015/02"	47535	Not Applicable	Not Applicable
	"Mar., 2015"	"2015/03"	52656	Not Applicable	Not Applicable
	"Apr., 2015"	"2015/04"	50082	Not Applicable	Not Applicable
	"May, 2015"	"2015/05"	51398	Not Applicable	Not Applicable
	"Jun., 2015"	"2015/06"	49322	Not Applicable	Not Applicable
	"Jul., 2015"	"2015/07"	51454	Not Applicable	Not Applicable
	"Aug., 2015"	"2015/08"	51515	Not Applicable	Not Applicable
	"Sep., 2015"	"2015/09"	50168	Not Applicable	Not Applicable
	"Oct., 2015"	"2015/10"	52209	Not Applicable	Not Applicable
	"Nov., 2015"	"2015/11"	50166	Not Applicable	Not Applicable
	"Dec., 2015"	"2015/12"	51857	Not Applicable	Not Applicable
	"Jan., 2016"	"2016/01"	53309	Not Applicable	Not Applicable
	"Feb., 2016"	"2016/02"	49532	Not Applicable	Not Applicable
	"Mar., 2016"	"2016/03"	52926	Not Applicable	Not Applicable
	"Apr., 2016"	"2016/04"	49859	Not Applicable	Not Applicable
	"May, 2016"	"2016/05"	50893	Not Applicable	Not Applicable
	"Jun., 2016"	"2016/06"	48830	Not Applicable	Not Applicable
	"Jul., 2016"	"2016/07"	51150	Not Applicable	Not Applicable
	"Aug., 2016"	"2016/08"	51930	Not Applicable	Not Applicable
	"Sep., 2016"	"2016/09"	49956	Not Applicable	Not Applicable
	"Oct., 2016"	"2016/10"	52125	Not Applicable	Not Applicable
	"Nov., 2016"	"2016/11"	50568	Not Applicable	Not Applicable
	"Dec., 2016"	"2016/12"	52754	Not Applicable	Not Applicable
	"Jan., 2017"	"2017/01"	53471	Not Applicable	Not Applicable
	"Feb., 2017"	"2017/02"	47837	Not Applicable	Not Applicable
	"Mar., 2017"	"2017/03"	52144	Not Applicable	Not Applicable
	"Apr., 2017"	"2017/04"	50331	Not Applicable	Not Applicable
	"May, 2017"	"2017/05"	51133	Not Applicable	Not Applicable
	"Jun., 2017"	"2017/06"	49703	Not Applicable	Not Applicable
	"Jul., 2017"	"2017/07"	51768	Not Applicable	Not Applicable
	"Aug., 2017"	"2017/08"	51676	Not Applicable	Not Applicable
	"Sep., 2017"	"2017/09"	50253	Not Applicable	Not Applicable
	"Oct., 2017"	"2017/10"	52444	Not Applicable	Not Applicable
	"Nov., 2017"	"2017/11"	50754	Not Applicable	Not Applicable
	"Dec., 2017"	"2017/12"	53418	Not Applicable	Not Applicable
	"Jan., 2018"	"2018/01"	54292	Not Applicable	Not Applicable
	"Feb., 2018"	"2018/02"	47698	Not Applicable	Not Applicable
	"Mar., 2018"	"2018/03"	52003	Not Applicable	Not Applicable
	"Apr., 2018"	"2018/04"	50117	Not Applicable	Not Applicable
	"May, 2018"	"2018/05"	50856	Not Applicable	Not Applicable
	"Jun., 2018"	"2018/06"	49540	Not Applicable	Not Applicable
	"Jul., 2018"	"2018/07"	51134	Not Applicable	Not Applicable
	"Aug., 2018"	"2018/08"	51879	Not Applicable	Not Applicable
	"Sep., 2018"	"2018/09"	50301	Not Applicable	Not Applicable
	"Oct., 2018"	"2018/10"	52973	Not Applicable	Not Applicable
	"Nov., 2018"	"2018/11"	51138	Not Applicable	Not Applicable
	"Dec., 2018"	"2018/12"	52983	Not Applicable	Not Applicable
"Total"			11734696	Not Applicable	Not Applicable
"---"
"Dataset: Underlying Cause of Death, 1999-2018"
"Query Parameters:"
"ICD-10 Codes: C00-D48 (Neoplasms)"
"Group By: Month"
"Show Totals: True"
"Show Zero Values: False"
"Show Suppressed: False"
"Calculate Rates Per: 100,000"
"Rate Options: Default intercensal populations for years 2001-2009 (except Infant Age Groups)"
"---"
"Help: See http://wonder.cdc.gov/wonder/help/ucd.html for more information."
"---"
"Query Date: Apr 30, 2020 7:35:13 AM"
"---"
"Suggested Citation: Centers for Disease Control and Prevention, National Center for Health Statistics. Underlying Cause of Death"
"1999-2018 on CDC WONDER Online Database, released in 2020. Data are from the Multiple Cause of Death Files, 1999-2018, as"
"compiled from data provided by the 57 vital statistics jurisdictions through the Vital Statistics Cooperative Program. Accessed"
"at http://wonder.cdc.gov/ucd-icd10.html on Apr 30, 2020 7:35:13 AM"
"---"
Caveats:
"1. Population and rates are labeled 'Not Applicable' when Autopsy, Place of Death, Weekday or Month are grouped by or limited,"
"due to lack of a valid population. More information: http://wonder.cdc.gov/wonder/help/ucd.html#NotApplicableRates."
"2. As of April 3, 2017, the underlying cause of death has been revised for 125 deaths in 2014. More information:"
"http://wonder.cdc.gov/wonder/help/ucd.html#2014-Revision."
"3. Circumstances in Georgia for the years 2008 and 2009 have resulted in unusually high death counts for the ICD-10 cause of"
"death code R99, ""Other ill-defined and unspecified causes of mortality."" Caution should be used in interpreting these data."
"More information: http://wonder.cdc.gov/wonder/help/ucd.html#Georgia-Reporting-Anomalies."
"4. Circumstances in New Jersey for the year 2009 have resulted in unusually high death counts for the ICD-10 cause of death code"
"R99, ""Other ill-defined and unspecified causes of mortality"" and therefore unusually low death counts in other ICD-10 codes,"
"most notably R95, ""Sudden Infant Death Syndrome"" and X40-X49, ""Unintentional poisoning."" Caution should be used in"
"interpreting these data. More information: http://wonder.cdc.gov/wonder/help/ucd.html#New-Jersey-Reporting-Anomalies."
"5. Circumstances in California resulted in unusually high death counts for the ICD-10 cause of death code R99, ""Other"
"ill-defined and unspecified causes of mortality"" for deaths occurring in years 2000 and 2001. Caution should be used in"
"interpreting these data. More information: http://wonder.cdc.gov/wonder/help/ucd.html#California-Reporting-Anomalies."
